提交编号,题目编号,题目名称,状态,分数,总时间,内存,语言,代码长度,提交者,提交时间
542196,2417,"「USACO 2016 US Open, Platinum」262144",Accepted,100,1045 ms,121.17 M,C++ 11,1.2 K,QuartZ_Z,2019-07-23 20:40:05
536366,2264,「CTSC2017」吉夫特,Accepted,100,2565 ms,2.37 M,C++ 11,1.5 K,QuartZ_Z,2019-07-19 22:21:42
482449,5,Guess Date,Accepted,100,0 ms,0 K,,34 B,QuartZ_Z,2019-06-12 19:59:25
476177,2847,「ROI 2018 Day 2」抄本,Accepted,100,500 ms,3.62 M,C++ 11,1.2 K,QuartZ_Z,2019-06-04 20:01:23
476108,2055,「TJOI / HEOI2016」排序,Accepted,100,4491 ms,4.71 M,C++ 11,3.0 K,QuartZ_Z,2019-06-04 19:08:26
475352,3057,「HNOI2019」校园旅行,Accepted,100,3289 ms,101.77 M,C++ 11,2.6 K,QuartZ_Z,2019-06-04 07:48:15
470809,6008,「网络流 24 题」餐巾计划,Accepted,100,674 ms,588 K,C++,2.1 K,QuartZ_Z,2019-05-31 07:47:45
470336,117,有源汇有上下界最小流,Accepted,100,245 ms,6.00 M,C++,2.3 K,QuartZ_Z,2019-05-30 19:34:08
470318,116,有源汇有上下界最大流,Accepted,100,53 ms,508 K,C++,2.2 K,QuartZ_Z,2019-05-30 19:15:33
469919,115,无源汇有上下界可行流,Accepted,100,18 ms,476 K,C++,2.1 K,QuartZ_Z,2019-05-30 13:54:04
469882,101,最大流,Accepted,100,73 ms,252 K,C++ 11,1.8 K,QuartZ_Z,2019-05-30 13:32:20
465398,2183,「SDOI2015」序列统计,Accepted,100,590 ms,508 K,C++ 11,2.7 K,QuartZ_Z,2019-05-25 23:14:04
464418,2562,「SDOI2018」战略游戏,Accepted,100,1328 ms,25.75 M,C++ 11,3.9 K,QuartZ_Z,2019-05-24 21:43:43
461403,6432,「PKUSC2018」真实排名,Accepted,100,886 ms,2.80 M,C++ 11,1.7 K,QuartZ_Z,2019-05-22 17:22:26
461337,6433,「PKUSC2018」最大前缀和,Accepted,100,2320 ms,12.22 M,C++ 11,1.3 K,QuartZ_Z,2019-05-22 16:34:59
460523,6436,「PKUSC2018」神仙的游戏,Accepted,100,4178 ms,54.50 M,C++ 11,2.4 K,QuartZ_Z,2019-05-22 00:55:01
460451,2567,「APIO2016」划艇,Accepted,100,13116 ms,11.75 M,C++ 11,2.0 K,QuartZ_Z,2019-05-21 22:33:26
451894,2569,「APIO2016」最大差分,Accepted,100,8591 ms,505 K,C++ 11,1.5 K,QuartZ_Z,2019-05-15 07:25:32
446522,2310,「APIO2017」斑斓之地,Accepted,100,45061 ms,168.37 M,C++ 11,4.4 K,QuartZ_Z,2019-05-10 13:35:24
430931,2116,「HNOI2015」开店,Accepted,100,5434 ms,155.17 M,C++ 11,3.8 K,QuartZ_Z,2019-04-28 07:10:06
429921,6053,简单的函数,Accepted,100,3423 ms,139.19 M,C++ 11,3.1 K,QuartZ_Z,2019-04-27 08:48:55
419480,3083,「GXOI / GZOI2019」与或和,Accepted,100,5314 ms,4.00 M,C++ 11,2.4 K,QuartZ_Z,2019-04-17 11:36:01
419029,3087,「GXOI / GZOI2019」旅行者,Accepted,100,7318 ms,6.00 M,C++ 11,2.2 K,QuartZ_Z,2019-04-16 21:33:04
418975,3086,「GXOI / GZOI2019」逼死强迫症,Accepted,100,47 ms,124 K,C++,1.8 K,QuartZ_Z,2019-04-16 21:13:19
418972,3088,「GXOI / GZOI2019」旧词,Accepted,100,1715 ms,9.03 M,C++ 11,4.3 K,QuartZ_Z,2019-04-16 21:11:59
413964,3048,「十二省联考 2019」异或粽子,Accepted,100,6527 ms,198.98 M,C++ 11,1.9 K,QuartZ_Z,2019-04-13 09:47:29
412460,1,A + B Problem,Accepted,100,7 ms,368 K,C++ 11 (Clang),120 B,QuartZ_Z,2019-04-12 08:21:52
406964,3052,「十二省联考 2019」春节十二响,Accepted,100,953 ms,26.37 M,C++ 11,2.1 K,QuartZ_Z,2019-04-09 11:30:34
399675,6539,奇妙数论题,Accepted,100,1230 ms,10.37 M,C++ 11,1.7 K,QuartZ_Z,2019-04-04 14:11:25
